Routing Number,PIN,Balance
100000000,4928,103067.60
100000001,6792,4195.32
100000002,6267,3778.49
100000003,1848,437.25
100000004,4839,4103.39
100000005,9812,235.75
100000006,6901,4370.48
100000007,2698,3012.48
100000008,8066,2235.05
100000009,4580,229.85
100000010,8987,955.29
100000011,1496,2808.47
100000012,4232,4702.83
100000013,4797,4121.27
100000014,3212,1288.30
100000015,8333,2806.88
100000016,1120,1822.02
100000017,4564,4241.41
100000018,1283,2507.16
100000019,1484,1745.49
100000020,8534,2487.77
100000021,6769,1914.33
100000022,2409,2196.06
100000023,8407,3503.13
100000024,2465,3092.89
100000025,2853,4847.72
100000026,5885,3766.28
100000027,2660,3855.43
100000028,2925,2107.75
100000029,7835,2227.32
100000030,9734,1228.06
100000031,6052,2337.87
100000032,4675,4813.78
100000033,8065,3353.39
100000034,9910,122.37
100000035,8306,1306.36
100000036,3397,1204.53
100000037,2314,1448.02
100000038,2977,4358.48
100000039,5462,3111.07
100000040,7415,2361.67
100000041,8222,4945.58
100000042,5662,3766.46
100000043,1846,1075.43
100000044,2654,2984.95
100000045,6804,2348.82
100000046,5206,2776.47
100000047,3793,933.04
100000048,9094,1845.17
100000049,5750,3521.02
100000050,9120,3006.72
100000051,4447,179.68
100000052,3266,928.92
100000053,7927,3706.48
100000054,4524,4361.93
100000055,5637,2814.56
100000056,9967,990.96
100000057,7421,1068.19
100000058,5282,2139.49
100000059,8478,3418.55
100000060,8291,3932.18
100000061,2360,530.63
100000062,3389,4518.81
100000063,8853,4438.17
100000064,1495,4065.27
100000065,1450,3907.58
100000066,1197,4047.52
100000067,7859,1781.10
100000068,2690,2628.99
100000069,5857,2704.89
100000070,9684,2360.49
100000071,4151,3877.88
100000072,3431,3941.77
100000073,7132,4490.86
100000074,2232,2201.56
100000075,3948,2906.36
100000076,9039,1305.41
100000077,1649,385.26
100000078,1240,4599.90
100000079,3797,4037.03
100000080,5740,3866.88
100000081,4296,395.81
100000082,4688,2254.71
100000083,9737,300.59
100000084,8302,3459.54
100000085,3055,1838.71
100000086,6727,4696.61
100000087,6413,4659.58
100000088,2518,3607.28
100000089,3352,966.96
100000090,5778,3094.74
100000091,6154,1832.77
100000092,9755,3954.13
100000093,6562,869.96
100000094,3456,2448.03
100000095,8727,4995.95
100000096,3188,328.59
100000097,8593,1443.72
100000098,3587,1621.06
100000099,5123,1635.60
